Rok;Dzień;Godzina;Krajowe zapotrzebowanie na moc [MW];Produkcja [MW]
2025;1;0;14250;14849.342830602247
2025;1;1;14250;14722.347139765763
2025;1;2;13713;14342.537707620138
2025;1;3;13500;14304.605971281606
2025;1;4;13500;13953.169325055333
2025;1;5;13888;14341.172608610164
2025;1;6;13913;14728.842563101478
2025;1;7;13463;14616.486945830582
2025;1;8;13350;14256.105122813009
2025;1;9;14263;15371.512008717193
2025;1;10;14425;15332.316461437507
2025;1;11;14800;15706.854049285948
2025;1;12;14900;15948.392454313207
2025;1;13;15400;16017.34395106844
2025;1;14;14825;15480.016433497394
2025;1;15;16200;17087.542494151807
2025;1;16;17088;17885.433775933114
2025;1;17;17350;17912.849466519056
2025;1;18;17563;17881.39518489576
2025;1;19;17563;17780.53925973294
2025;1;20;17200;17993.12975378431
2025;1;21;17088;17542.84473990269
2025;1;22;16238;16751.505640937587
2025;1;23;14263;14478.050362757309
2025;2;0;14163;14554.123455094963
2025;2;1;13138;13660.184517941972
2025;2;2;13238;13507.801284515539
2025;2;3;13200;13775.139603669135
2025;2;4;13688;14067.872262016239
2025;2;5;14925;15366.661250041345
2025;2;6;16975;17354.658677554122
2025;2;7;18875;20245.45563690179
2025;2;8;19625;20622.300555052414
2025;2;9;20263;21051.45781420882
2025;2;10;20300;21464.508982420637
2025;2;11;20263;21018.831270005794
2025;2;12;20600;21641.77271900095
2025;2;13;20888;21496.065975224046
2025;2;14;20875;21609.362790220315
2025;2;15;21338;22377.372247173826
2025;2;16;21775;22922.69331599908
2025;2;17;21725;22259.273656237994
2025;2;18;21475;21951.87034352235
2025;2;19;21263;21702.779260882144
2025;2;20;20700;20904.295601926515
2025;2;21;19413;19769.031158321057
2025;2;22;18288;18695.87224580804
2025;2;23;16738;17449.42444524378
2025;3;0;15950;16518.72365791369
2025;3;1;15413;15560.391968927453
2025;3;2;15225;15789.81679387896
2025;3;3;15275;15697.983543916736
2025;3;4;15588;15952.615599938808
2025;3;5;16438;17060.335257768173
2025;3;6;19013;19719.19990449919
2025;3;7;20400;21586.25602382324
2025;3;8;20863;21695.156495355473
2025;3;9;21350;22288.157524829756
2025;3;10;21463;22529.252686280714
2025;3;11;21888;23083.10902542447
2025;3;12;22200;23104.16515243094
2025;3;13;22388;23350.868204667237
2025;3;14;21800;22578.733005198796
2025;3;15;21938;22698.758675183864
2025;3;16;22363;23525.50516447884
2025;3;17;22438;23209.248005714166
2025;3;18;22088;22573.597975683933
2025;3;19;21550;22250.706579578404
2025;3;20;21000;21572.327205009526
2025;3;21;19713;20083.976049078974
2025;3;22;18463;19035.27912110168
2025;3;23;17213;18020.607313293192
2025;4;0;16713;17205.83479217801
2025;4;1;16113;16925.9287311628
2025;4;2;15800;15776.050979182051
2025;4;3;15425;16089.380500875044
2025;4;4;14950;15467.409413647634
2025;4;5;15750;16190.198529906827
2025;4;6;16825;17343.3521553071
2025;4;7;17738;18340.486217079822
2025;4;8;18688;19644.0656224325
2025;4;9;19463;20534.42251430235
2025;4;10;19763;21058.578808948303
2025;4;11;19700;20596.34595634527
2025;4;12;19800;20638.30127942136
2025;4;13;19775;20674.648591283094
2025;4;14;19938;21121.080423540414
2025;4;15;20275;21340.750221931936
2025;4;16;20750;21644.047959246593
2025;4;17;20763;21365.653486622672
2025;4;18;20563;21082.415509869606
2025;4;19;20338;21031.728998106577
2025;4;20;20013;20372.58938122453
2025;4;21;19025;19459.467570680445
2025;4;22;18125;18546.57836937357
2025;4;23;16825;17032.297010373575
2025;5;0;16050;16609.224055412917
2025;5;1;15784;16336.211054435978
2025;5;2;14563;15064.022691328491
2025;5;3;14775;15228.082573324971
2025;5;4;14400;14616.925851589916
2025;5;5;14763;15178.870935446928
2025;5;6;15250;15681.457096694647
2025;5;7;15550;16389.544546155677
2025;5;8;16250;17217.7428576668
2025;5;9;17488;18568.810171362908
2025;5;10;17888;19265.237180242108
2025;5;11;17838;18872.915562566366
2025;5;12;18550;19601.510078144554
2025;5;13;18663;19648.110816846765
2025;5;14;18825;19441.245756940192
2025;5;15;18425;19419.697224910156
2025;5;16;18963;19975.046041988204
2025;5;17;18813;19805.648422497055
2025;5;18;18975;19436.527807043774
2025;5;19;18963;19523.309468466723
2025;5;20;18375;18868.05764605895
2025;5;21;17663;17929.264392476092
2025;5;22;17263;17991.564562903004
2025;5;23;16188;16838.386606537355
2025;6;0;14838;15496.20638940861
2025;6;1;14538;14856.122509041052
2025;6;2;14188;14968.55886218722
2025;6;3;14125;14344.629787441543
2025;6;4;14150;14767.371418760054
2025;6;5;14375;15313.091125161996
2025;6;6;14838;15139.892734973862
2025;6;7;15213;16099.740454079445
2025;6;8;15650;16669.93027301753
2025;6;9;16388;17287.30486917676
2025;6;10;16925;17614.867313786774
2025;6;11;17138;18151.712594961205
2025;6;12;17413;18200.53925725478
2025;6;13;17488;18582.718486127036
2025;6;14;17775;18591.115153153238
2025;6;15;17863;19172.986881003508
2025;6;16;18425;19268.349341532754
2025;6;17;18750;19185.587696758867
2025;6;18;18650;19312.703443473933
2025;6;19;18600;18853.827136713207
2025;6;20;18300;18845.491986920824
2025;6;21;17513;18274.428550856486
2025;6;22;16450;16628.503353087755
2025;6;23;15550;16086.926771706461
2025;7;0;14875;15426.976558849685
2025;7;1;14863;15519.364574355463
2025;7;2;14813;15065.609857824384
2025;7;3;14788;15023.908677383144
2025;7;4;14711;15315.38831312338
2025;7;5;16291;16850.396934646637
2025;7;6;20352;20902.098570069174
