Rok;Dzień;Godzina;Krajowe zapotrzebowanie na moc [MW];Produkcja [MW]
2024;1;0;15050;14149.342830602247
2024;1;1;14575;13547.347139765763
2024;1;2;14250;13379.537707620138
2024;1;3;14175;13479.605971281606
2024;1;4;14225;13178.169325055333
2024;1;5;14750;13703.172608610164
2024;1;6;14975;14290.842563101478
2024;1;7;15125;13278.486945830582
2024;1;8;16288;14194.105122813009
2024;1;9;17175;15283.512008717193
2024;1;10;17375;15282.316461437507
2024;1;11;17238;15144.854049285948
2024;1;12;17625;15673.392454313207
2024;1;13;18188;15805.34395106844
2024;1;14;18600;16255.016433497394
2024;1;15;18600;16487.542494151807
2024;1;16;18888;16685.433775933114
2024;1;17;19000;18062.849466519056
2024;1;18;18988;17806.39518489576
2024;1;19;19163;17880.53925973294
2024;1;20;18663;17956.12975378431
2024;1;21;17838;16792.84473990269
2024;1;22;17238;16251.505640937585
2024;1;23;16200;14915.050362757309
2024;2;0;15213;14104.123455094963
2024;2;1;14913;13935.184517941972
2024;2;2;14750;13519.801284515539
2024;2;3;14750;13825.139603669135
2024;2;4;15592;14471.872262016239
2024;2;5;17118;16059.661250041345
2024;2;6;20288;19167.658677554122
2024;2;7;22150;20520.45563690179
2024;2;8;22963;20960.300555052414
2024;2;9;22500;20288.45781420882
2024;2;10;22075;20239.508982420637
2024;2;11;22188;19943.831270005794
2024;2;12;22038;20079.77271900095
2024;2;13;21888;19496.065975224046
2024;2;14;22788;20522.362790220315
2024;2;15;23088;21127.372247173826
2024;2;16;23450;21597.69331599908
2024;2;17;23388;22422.273656237994
2024;2;18;23225;22201.87034352235
2024;2;19;23100;22039.779260882144
2024;2;20;22263;20967.295601926515
2024;2;21;20675;19531.031158321057
2024;2;22;19388;18295.87224580804
2024;2;23;17650;16861.42444524378
2024;3;0;17125;16193.723657913692
2024;3;1;16938;15585.391968927453
2024;3;2;16075;15139.81679387896
2024;3;3;16063;14985.983543916736
2024;3;4;16638;15502.615599938808
2024;3;5;17863;16985.335257768173
2024;3;6;20763;19969.19990449919
2024;3;7;22600;20786.25602382324
2024;3;8;23313;21145.156495355473
2024;3;9;23238;21176.157524829756
2024;3;10;22725;20791.252686280714
2024;3;11;23000;21195.10902542447
2024;3;12;22925;20829.16515243094
2024;3;13;23350;21312.868204667237
2024;3;14;23425;21203.733005198796
2024;3;15;23350;21110.758675183864
2024;3;16;24063;22225.50516447884
2024;3;17;23788;23059.248005714166
2024;3;18;23238;22223.597975683933
2024;3;19;23138;22338.706579578404
2024;3;20;22550;21622.327205009526
2024;3;21;20738;19608.976049078974
2024;3;22;19675;18747.27912110168
2024;3;23;18363;17670.607313293192
2024;4;0;17163;16155.83479217801
2024;4;1;16713;16025.928731162801
2024;4;2;16425;14901.050979182051
2024;4;3;16463;15627.380500875044
2024;4;4;16975;15992.409413647634
2024;4;5;18113;17053.198529906826
2024;4;6;21375;20393.3521553071
2024;4;7;23338;20940.486217079822
2024;4;8;24145;22101.0656224325
