Rok;Dzień;Godzina;Krajowe zapotrzebowanie na moc [MW];Produkcja [MW]
2024;1;0;14450;17049.342830602247
2024;1;1;13775;16247.347139765763
2024;1;2;13525;16154.537707620138
2024;1;3;13438;16242.605971281606
2024;1;4;13425;15878.169325055333
2024;1;5;14513;19466.172608610163
2024;1;6;17263;22578.84256310148
2024;1;7;19763;24916.48694583058
2024;1;8;20625;25531.10512281301
2024;1;9;21175;26283.512008717193
2024;1;10;21550;26457.31646143751
2024;1;11;21675;26581.85404928595
2024;1;12;21788;26836.392454313205
2024;1;13;21038;25655.34395106844
2024;1;14;20850;25505.016433497392
2024;1;15;20750;25637.542494151807
2024;1;16;20538;25335.433775933114
2024;1;17;20163;25225.849466519056
2024;1;18;20175;24993.39518489576
2024;1;19;20338;25055.53925973294
2024;1;20;20463;25756.12975378431
2024;1;21;19663;22117.84473990269
2024;1;22;18150;20663.505640937587
2024;1;23;16950;19165.05036275731
2024;2;0;15613;18004.123455094963
2024;2;1;14888;17410.184517941972
2024;2;2;14675;16944.80128451554
2024;2;3;14650;17225.139603669133
2024;2;4;14725;17104.87226201624
2024;2;5;15138;20079.661250041343
2024;2;6;17613;22492.658677554122
2024;2;7;19688;25058.45563690179
2024;2;8;20388;25385.300555052414
2024;2;9;20413;25201.45781420882
2024;2;10;20175;25339.508982420637
2024;2;11;20613;25368.831270005794
2024;2;12;21275;26316.77271900095
2024;2;13;20513;25121.065975224046
2024;2;14;19938;24672.362790220315
2024;2;15;19650;24689.372247173826
2024;2;16;19650;24797.69331599908
2024;2;17;19638;24672.273656237994
2024;2;18;19863;24839.87034352235
2024;2;19;19700;24639.779260882144
2024;2;20;19475;24179.295601926515
2024;2;21;18850;21206.031158321057
2024;2;22;17890;20297.87224580804
2024;2;23;16530;19241.42444524378
2024;3;0;15593;18161.72365791369
2024;3;1;14748;16895.39196892745
2024;3;2;14475;17039.81679387896
2024;3;3;14525;16947.983543916736
2024;3;4;14613;16977.615599938807
2024;3;5;14988;20110.335257768173
2024;3;6;17725;22931.19990449919
2024;3;7;19350;24536.25602382324
2024;3;8;20500;25332.156495355473
2024;3;9;20200;25138.157524829756
2024;3;10;20425;25491.252686280714
2024;3;11;20525;25720.10902542447
2024;3;12;19838;24742.16515243094
2024;3;13;19575;24537.868204667237
2024;3;14;19488;24266.733005198796
2024;3;15;19613;24373.758675183864
2024;3;16;19275;24437.50516447884
2024;3;17;19588;24859.248005714166
2024;3;18;19600;24585.597975683933
2024;3;19;19400;24600.706579578404
2024;3;20;19075;24147.327205009526
2024;3;21;18463;20833.976049078974
2024;3;22;17350;19922.27912110168
2024;3;23;15913;18720.607313293192
2024;4;0;15150;17642.83479217801
2024;4;1;14800;17612.9287311628
2024;4;2;14538;16514.05097918205
2024;4;3;14725;17389.380500875046
2024;4;4;14525;17042.409413647634
2024;4;5;15138;20078.198529906826
2024;4;6;17563;22581.3521553071
2024;4;7;19325;23927.486217079822
2024;4;8;19800;24756.0656224325
2024;4;9;19850;24921.42251430235
2024;4;10;19850;25145.578808948303
2024;4;11;20350;25246.34595634527
2024;4;12;20338;25176.30127942136
2024;4;13;20288;25187.648591283094
2024;4;14;20125;25308.080423540414
2024;4;15;19788;24853.750221931936
